episode_num,episode_title,poll_vote,forum_link,sentiments,normalized_poll_vote,sentiment_score,normalized_comments,success_metric
44,"Setting Out with a Smile! Farewell, Hometown Cocoyashi Village!",4.6,https://myanimelist.net/forum/?topicid=124521,"({'positive': 78.37837837837837, 'neutral': 13.513513513513514, 'negative': 8.108108108108109}, 74)",0.8999999999999999,0.7027027027027026,4.31748811353631,1.9398243203925012
45,Bounty! Straw Hat Luffy Becomes Known to the World!,4.4,https://myanimelist.net/forum/?topicid=125781,"({'positive': 82.08955223880598, 'neutral': 10.44776119402985, 'negative': 7.462686567164178}, 67)",0.8500000000000001,0.746268656716418,4.219507705176107,1.9389001705712565
46,Chase Straw Hat! Little Buggy's Big Adventure!,4.0,https://myanimelist.net/forum/?topicid=125788,"({'positive': 76.11940298507463, 'neutral': 8.955223880597014, 'negative': 14.925373134328357}, 67)",0.75,0.6119402985074628,4.219507705176107,1.8800870435637065
47,The Wait is Over! The Return of Captain Buggy!,3.9,https://myanimelist.net/forum/?topicid=46620,"({'positive': 54.09836065573771, 'neutral': 14.754098360655737, 'negative': 31.147540983606557}, 61)",0.725,0.2295081967213115,4.127134385045092,1.7404324063325274
48,The Town of the Beginning and the End! Landfall at Logue Town!,4.5,https://myanimelist.net/forum/?topicid=85788,"({'positive': 70.4225352112676, 'neutral': 9.859154929577464, 'negative': 19.718309859154928}, 71)",0.875,0.5070422535211268,4.276666119016055,1.8497851947174273
49,Kitetsu III and Yubashiri! Zoro’s New Swords and the Woman Sergeant Major!,4.5,https://myanimelist.net/forum/?topicid=105103,"({'positive': 76.0, 'neutral': 16.0, 'negative': 8.0}, 50)",0.875,0.68,3.9318256327243257,1.8341527068604382
50,Usopp vs. Daddy the Parent! Showdown at High!,4.2,https://myanimelist.net/forum/?topicid=126543,"({'positive': 79.03225806451613, 'neutral': 6.451612903225806, 'negative': 14.516129032258066}, 62)",0.8,0.6451612903225806,4.143134726391533,1.8556121808936379
51,Fiery Cooking Battle? Sanji vs. the Beautiful Chef!,4.2,https://myanimelist.net/forum/?topicid=126550,"({'positive': 67.3469387755102, 'neutral': 18.367346938775512, 'negative': 14.285714285714285}, 49)",0.8,0.5306122448979591,3.912023005428146,1.7745618578049356
52,Buggy's Revenge! The Man Who Smiles On the Execution Platform!,4.4,https://myanimelist.net/forum/?topicid=126557,"({'positive': 62.5, 'neutral': 9.375, 'negative': 28.125}, 64)",0.8500000000000001,0.34375,4.174387269895637,1.7856747819251433
53,The Legend Has Started! Head for the Grand Line!,4.4,https://myanimelist.net/forum/?topicid=126569,"({'positive': 79.03225806451613, 'neutral': 6.451612903225806, 'negative': 14.516129032258066}, 62)",0.8500000000000001,0.6451612903225806,4.143134726391533,1.8559926996598142
54,"Precursor to a New Adventure! Apis, a Mysterious Girl!",4.2,https://myanimelist.net/forum/?topicid=126802,"({'positive': 72.0, 'neutral': 18.0, 'negative': 10.0}, 50)",0.8,0.62,3.9318256327243257,1.801954583096035
55,Miraculous Creature! Apis' Secret and the Legendary Island!,4.1,https://myanimelist.net/forum/?topicid=126805,"({'positive': 67.3913043478261, 'neutral': 6.521739130434782, 'negative': 26.08695652173913}, 46)",0.7749999999999999,0.4130434782608697,3.8501476017100584,1.7100364157667407
56,Eric Attacks! Great Escape from Warship Island!,4.2,https://myanimelist.net/forum/?topicid=126808,"({'positive': 57.89473684210527, 'neutral': 13.157894736842104, 'negative': 28.947368421052634}, 38)",0.8,0.2894736842105263,3.6635616461296463,1.6157679365267283
57,A Solitary Island in the Distant Sea! The Legendary Lost Island!,4.0,https://myanimelist.net/forum/?topicid=126813,"({'positive': 64.1025641025641, 'neutral': 15.384615384615385, 'negative': 20.51282051282051}, 39)",0.75,0.4358974358974359,3.6888794541139363,1.622636206634525
58,Showdown in the Ruins! Tense Zoro vs. Eric!,4.1,https://myanimelist.net/forum/?topicid=126815,"({'positive': 65.625, 'neutral': 12.5, 'negative': 21.875}, 32)",0.7749999999999999,0.4375,3.4965075614664802,1.5829109420252512
59,"Luffy, Completely Surrounded! Commodore Nelson's Secret Strategy!",4.1,https://myanimelist.net/forum/?topicid=126845,"({'positive': 65.0, 'neutral': 17.5, 'negative': 17.5}, 40)",0.7749999999999999,0.475,3.713572066704308,1.63662075218239
60,Through the Sky They Soar! The 1000 Year Legend Lives Again!,4.1,https://myanimelist.net/forum/?topicid=126848,"({'positive': 70.37037037037037, 'neutral': 9.25925925925926, 'negative': 20.37037037037037}, 54)",0.7749999999999999,0.5,4.007333185232471,1.7297384843537151
61,An Angry Showdown! Cross the Red Line!,4.3,https://myanimelist.net/forum/?topicid=126855,"({'positive': 67.14285714285714, 'neutral': 11.428571428571429, 'negative': 21.428571428571427}, 70)",0.825,0.4571428571428571,4.2626798770413155,1.8186403046344721
62,The First Line of Defense? The Giant Whale Laboon Appears!,4.2,https://myanimelist.net/forum/?topicid=125079,"({'positive': 83.92857142857143, 'neutral': 10.714285714285714, 'negative': 5.357142857142857}, 56)",0.8,0.7857142857142857,4.04305126783455,1.8618514645458273
63,A Promise Between Men! Luffy and the Whale Vow to Meet Again!,4.3,https://myanimelist.net/forum/?topicid=105841,"({'positive': 79.62962962962963, 'neutral': 14.814814814814813, 'negative': 5.555555555555555}, 54)",0.825,0.7407407407407408,4.007333185232471,1.8587313476297598
64,A Town that Welcomes Pirates? Setting Foot on Whisky Peak!,4.4,https://myanimelist.net/forum/?topicid=124435,"({'positive': 68.62745098039215, 'neutral': 9.803921568627452, 'negative': 21.568627450980394}, 51)",0.8500000000000001,0.4705882352941176,3.9512437185814275,1.7826408253763262
65,Explosion! The Three Swords Style! Zoro vs. Baroque Works!,4.4,https://myanimelist.net/forum/?topicid=106112,"({'positive': 71.69811320754717, 'neutral': 11.320754716981133, 'negative': 16.9811320754717}, 53)",0.8500000000000001,0.5471698113207547,3.9889840465642745,1.7921986708153388
66,"All Out Battle! Luffy vs. Zoro, Mysterious Grand Duel!",4.2,https://myanimelist.net/forum/?topicid=82987,"({'positive': 45.588235294117645, 'neutral': 8.823529411764707, 'negative': 45.588235294117645}, 68)",0.8,0.0,4.23410650459726,1.7065762938531495
67,Deliver Princess Vivi! The Luffy Pirates Set Sail!,4.4,https://myanimelist.net/forum/?topicid=135093,"({'positive': 65.95744680851064, 'neutral': 10.638297872340425, 'negative': 23.404255319148938}, 47)",0.8500000000000001,0.425531914893617,3.871201010907891,1.7133273049136646
68,"Try Hard, Coby! Coby and Helmeppo's Struggles in the Marines!",4.0,https://myanimelist.net/forum/?topicid=106284,"({'positive': 76.0, 'neutral': 12.0, 'negative': 12.0}, 50)",0.75,0.64,3.9318256327243257,1.7587882344094976
69,Coby and Helmeppo's Resolve! Vice-Admiral Garp's Parental Affection!,4.2,https://myanimelist.net/forum/?topicid=135231,"({'positive': 75.0, 'neutral': 5.769230769230769, 'negative': 19.230769230769234}, 52)",0.8,0.5576923076923077,3.970291913552122,1.7716931139134817
70,An Ancient Island! The Shadow Hiding in Little Garden!,4.2,https://myanimelist.net/forum/?topicid=117844,"({'positive': 73.17073170731707, 'neutral': 21.951219512195124, 'negative': 4.878048780487805}, 41)",0.8,0.6829268292682927,3.7376696182833684,1.7480723903662856
71,Huge Duel! The Giants Dorry and Brogy!,4.3,https://myanimelist.net/forum/?topicid=135237,"({'positive': 71.42857142857143, 'neutral': 14.285714285714285, 'negative': 14.285714285714285}, 42)",0.825,0.5714285714285715,3.7612001156935624,1.726425269372105
